City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Tuatapere,NZ,-46.1333,167.6833,46.54,90,100,8.68,overcast clouds
312,Fenoarivo,MG,-18.933,47.4354,62.67,100,75,8.05,broken clouds
313,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,68.67,58,0,8.97,clear sky
314,Mwense,ZM,-10.3845,28.698,76.26,45,99,0.29,overcast clouds
315,Menongue,AO,-14.6585,17.691,71.51,57,58,5.14,broken clouds
316,Neuquen,AR,-38.9516,-68.0591,82.29,17,0,10.36,clear sky
317,Lefka,CY,35.1106,32.8506,66.76,58,0,2.17,clear sky
318,Fare,PF,-16.7,-151.0167,78.8,74,19,11.18,few clouds
319,Jalu,LY,29.0331,21.5482,66.34,34,0,6.46,clear sky
320,Karratha,AU,-20.7377,116.8463,68.88,67,0,16.04,clear sky
321,Altay,CN,47.8667,88.1167,39.9,71,100,7.05,overcast clouds
322,Salalah,OM,17.0151,54.0924,78.89,73,0,3.44,clear sky
323,Dingle,PH,10.9995,122.6711,75.79,92,100,5.55,overcast clouds
324,Divnomorskoye,RU,44.5011,38.1353,62.06,71,100,22.37,light rain
325,Shirwal,IN,18.1333,73.9833,64.99,71,0,1.83,clear sky
326,Matara,LK,5.9485,80.5353,75.65,90,77,8.05,broken clouds
327,Pisco,PE,-13.7,-76.2167,69.85,64,0,19.57,clear sky
328,Fort Nelson,CA,58.8053,-122.7002,28.94,81,100,6.91,overcast clouds
329,Wad Rawah,SD,15.1603,33.1397,88.9,22,1,19.82,clear sky
330,Ixtapa,MX,20.7,-105.2,82.31,79,100,2.82,light rain
331,Chilliwack,CA,49.1747,-121.9443,54.12,66,98,2.3,overcast clouds
332,Lipin Bor,RU,60.2622,37.9763,41.31,92,100,14.43,light rain
333,Lethem,GY,3.3803,-59.7968,86.99,61,100,6.73,overcast clouds
334,Sal Rei,CV,16.1833,-22.9167,77.9,76,0,16.28,clear sky
335,Aizawl,IN,23.7333,92.7167,62.19,91,100,2.42,light rain
336,Corinto,GR,37.9407,22.9573,68.11,66,2,1.95,clear sky
337,Tonota,BW,-21.4833,27.4833,75.02,50,8,12.82,clear sky
338,Kichera,RU,55.9375,110.0997,32.31,81,100,3.27,overcast clouds
339,Taft,IR,31.7471,54.2088,64.35,19,0,4.61,clear sky
340,Mangrol,IN,21.1167,70.1167,79.39,55,0,1.7,clear sky
341,Gidam,IN,18.9833,81.4,61.36,85,99,2.17,overcast clouds
342,Bandarbeyla,SO,9.4942,50.8122,78.04,81,17,1.95,few clouds
343,Aswan,EG,24.0934,32.907,76.3,35,0,10.36,clear sky
344,Ndjole,GA,-0.1783,10.7649,74.93,99,100,2.8,heavy intensity rain
